irradiance_diffuse (W/m2),wind_speed (m/s),ambient_temp,solar electricity,wind electricity
0.081,7.882,4.452,0.082,0.46
0.017,8.179,3.567,0.007,0.501
0,8.807,2.973,0,0.586
0,9.111,2.627,0,0.624
0,8.964,2.434,0,0.606
0,8.547,2.316,0,0.552
0,8.333,2.309,0,0.523
0,8.338,2.368,0,0.523
0,8.407,2.608,0,0.532
0,8.519,2.861,0,0.547
0,8.213,2.954,0,0.505
0,8.148,2.777,0,0.497
0,8.237,2.612,0,0.509
0.02,8.001,2.672,0.01,0.476
0.055,7.459,2.993,0.041,0.402
0.1,7.198,3.15,0.088,0.367
0.157,7.271,3.436,0.154,0.377
0.218,7.353,4.263,0.237,0.388
0.273,7.601,5.394,0.36,0.422
0.279,8.318,6.096,0.388,0.521
0.261,9.203,6.364,0.352,0.636
0.237,10.011,6.574,0.392,0.729
0.196,10.502,6.508,0.321,0.777
0.145,11.057,6.08,0.183,0.823
0.076,11.725,5.602,0.07,0.868
0.016,12.287,4.994,0.006,0.899
0,12.563,4.458,0,0.912
0,12.389,4.23,0,0.904
0,11.987,4.008,0,0.884
0,11.558,3.832,0,0.858
0,11.068,3.822,0,0.824
0,10.821,3.96,0,0.804
0,10.418,4.101,0,0.77
0,9.824,4.175,0,0.709
0,9.559,4.241,0,0.679
0,9.22,4.33,0,0.638
0.001,8.926,4.366,0,0.601
0.03,8.819,4.526,0.018,0.587
0.098,8.956,5.117,0.105,0.605
0.142,9.15,6.383,0.306,0.63
0.132,9.957,7.987,0.52,0.724
0.142,10.972,9.295,0.624,0.817
0.163,11.692,10.018,0.65,0.866
0.182,11.761,10.436,0.627,0.871
0.189,11.397,10.683,0.575,0.848
0.188,10.639,10.689,0.474,0.789
0.169,9.78,10.5,0.355,0.704
0.136,8.992,10.005,0.216,0.61
0.079,8.727,9.033,0.08,0.575
0.016,8.87,7.705,0.006,0.593
0,8.863,6.479,0,0.592
0,8.443,5.466,0,0.538
0,8.112,4.71,0,0.492
0,7.746,4.241,0,0.442
0,7.468,3.906,0,0.403
0,7.371,3.708,0,0.391
0,7.026,3.452,0,0.344
0,6.732,3.3,0,0.308
0,6.396,3.138,0,0.266
0,6.178,3.033,0,0.241
0.001,5.874,2.767,0,0.208
0.032,5.643,2.874,0.02,0.184
0.092,5.305,3.494,0.083,0.153
0.147,4.855,4.415,0.148,0.115
0.192,4.41,5.326,0.204,0.084
0.259,4.058,6.388,0.326,0.062
0.281,3.897,7.261,0.369,0.054
0.287,4.025,7.778,0.371,0.061
0.27,4.268,8.09,0.326,0.074
0.218,4.482,8.251,0.229,0.088
0.129,4.679,8.209,0.115,0.102
0.054,4.867,7.876,0.038,0.116
0.022,5.208,7.463,0.011,0.144
0.005,5.88,6.993,0,0.208
0,6.519,6.615,0,0.28
0,6.717,6.37,0,0.305
0,7.173,6.304,0,0.364
0,7.4,6.289,0,0.395
0,7.534,6.233,0,0.413
0,7.446,6.137,0,0.401
0,7.52,6.032,0,0.41
0,7.238,5.907,0,0.373
0,7.065,5.814,0,0.349
0,6.943,5.722,0,0.334
0.001,6.808,5.645,0,0.316
0.029,6.543,5.854,0.017,0.283
0.076,6.452,6.351,0.061,0.273
0.127,6.601,6.877,0.116,0.291
0.169,6.609,7.291,0.161,0.291
0.186,6.626,7.602,0.178,0.294
0.203,6.631,7.991,0.195,0.294
0.202,6.604,8.32,0.192,0.291
0.202,6.619,8.598,0.193,0.294
0.177,6.701,8.72,0.166,0.303
0.131,6.847,8.612,0.116,0.322
0.082,6.993,8.276,0.066,0.341
0.041,7.058,7.778,0.026,0.348
0.01,7.454,7.185,0.002,0.401
0,7.983,6.577,0,0.474
0,8.192,6.042,0,0.502
0,8.435,5.605,0,0.536
0,8.502,5.243,0,0.545
0,8.537,4.99,0,0.55
0,8.456,4.839,0,0.538
0,8.595,4.723,0,0.557
0,8.699,4.629,0,0.571
0,8.615,4.523,0,0.56
0,8.61,4.45,0,0.559
0.002,8.846,4.385,0,0.59
0.038,9.101,4.429,0.025,0.623
0.102,9.213,4.917,0.112,0.637
0.149,9.158,6.011,0.292,0.63
0.139,9.033,7.444,0.505,0.615
0.118,8.928,8.892,0.676,0.601
0.116,8.943,9.981,0.747,0.603
0.114,8.978,10.751,0.767,0.607
0.113,8.993,11.068,0.727,0.61
0.111,9.013,10.965,0.638,0.613
0.108,8.956,10.565,0.497,0.605
0.1,8.83,9.886,0.319,0.59
0.079,8.468,8.794,0.135,0.54
0.027,8.31,7.309,0.015,0.519
0,8.528,6.024,0,0.549
0,8.619,5.513,0,0.56
0,8.608,5.384,0,0.559
0,8.748,5.419,0,0.578
0,8.997,5.241,0,0.61
0,9.03,4.934,0,0.615
0,8.915,4.565,0,0.6
0,8.764,4.221,0,0.58
0,8.7,3.971,0,0.571
0,8.51,3.739,0,0.547
0.003,8.612,3.642,0,0.559
0.049,8.55,4.005,0.041,0.552
0.09,8.553,4.809,0.204,0.552
0.086,8.309,6.058,0.432,0.519
0.088,8.097,7.325,0.602,0.49
0.091,7.884,8.421,0.722,0.46
0.092,7.701,9.247,0.791,0.435
0.091,7.61,9.702,0.809,0.422
0.087,7.613,9.778,0.779,0.423
0.082,7.66,9.54,0.697,0.43
0.077,7.749,9.048,0.561,0.442
0.071,7.793,8.348,0.375,0.447
0.067,7.51,7.369,0.156,0.41
0.029,7.174,5.802,0.017,0.364
0,7.216,3.914,0,0.369
0,7.226,3.033,0,0.37
0,7.085,2.216,0,0.352
0,6.848,1.435,0,0.322
0,6.601,0.747,0,0.291
0,6.372,0.178,0,0.264
0,6.127,-0.302,0,0.235
0,5.857,-0.69,0,0.206
0,5.565,-0.962,0,0.177
0,5.278,-1.055,0,0.151
0.005,4.991,-0.93,0,0.126
0.051,4.506,0.517,0.057,0.09
0.083,4.034,1.987,0.214,0.061
0.065,4.029,4.222,0.487,0.061
0.068,3.94,5.891,0.655,0.056
0.074,3.971,7.099,0.768,0.058
0.077,4.027,8.101,0.829,0.061
0.079,4.017,8.91,0.838,0.06
0.079,3.909,9.521,0.797,0.054
0.076,3.759,9.835,0.706,0.046
0.072,3.621,9.906,0.566,0.04
0.066,3.455,9.723,0.381,0.033
0.058,3.298,9.157,0.171,0.027
0.03,3.239,7.57,0.017,0.025
0,3.228,6.35,0,0.025
0,3.384,5.621,0,0.03
0,3.71,4.899,0,0.045
0,4.071,4.187,0,0.063
0,4.533,3.449,0,0.092
0,5.103,2.662,0,0.135
0,5.656,2.087,0,0.185
0,6.101,1.539,0,0.233
0,6.329,1.009,0,0.259
0,6.457,0.62,0,0.274
0.006,6.518,0.575,0,0.28
0.055,6.287,2.256,0.061,0.253
0.087,5.809,3.917,0.226,0.201
0.089,5.518,5.331,0.441,0.172
0.09,5.151,6.726,0.619,0.139
0.105,5.123,7.845,0.711,0.137
0.146,5.231,8.509,0.685,0.146
0.157,5.25,8.942,0.684,0.148
0.16,5.129,9.196,0.641,0.137
0.162,4.885,9.243,0.536,0.118
0.135,4.609,9.162,0.455,0.097
0.126,4.368,8.791,0.278,0.081
0.09,4.267,8.145,0.109,0.074
0.033,4.341,6.58,0.02,0.079
0,4.346,4.771,0,0.079
0,4.219,4.199,0,0.071
0,4.05,3.781,0,0.062
0,3.88,3.421,0,0.053
0,3.756,3.144,0,0.046
0,3.817,2.801,0,0.049
0,4.21,2.15,0,0.071
0,4.893,1.304,0,0.118
0,5.714,0.62,0,0.192
0,6.417,0.297,0,0.269
0.007,6.844,0.246,0.001,0.321
0.052,6.825,2.056,0.069,0.319
0.071,6.247,3.649,0.256,0.249
0.077,6.73,5.45,0.463,0.307
0.083,7.081,6.97,0.628,0.352
0.088,7.39,8.126,0.741,0.394
0.095,7.534,8.817,0.794,0.413
0.104,7.535,9.209,0.787,0.413
0.112,7.501,9.349,0.73,0.408
0.113,7.524,9.311,0.635,0.411
0.109,7.575,9.138,0.498,0.418
0.102,7.598,8.798,0.327,0.422
0.088,7.339,8.065,0.126,0.386
0.035,7.298,6.737,0.021,0.38
0,7.916,5.33,0,0.465
0,8.329,4.537,0,0.522
0,8.381,3.456,0,0.528
0,8.397,2.431,0,0.531
0,8.131,1.534,0,0.494
0,7.875,0.8,0,0.459
0,7.931,0.314,0,0.466
0,8.112,0.055,0,0.492
0,8.138,-0.179,0,0.495
0,8.03,-0.443,0,0.481
0.008,7.967,-0.352,0.001,0.471
0.056,7.867,0.656,0.062,0.458
0.066,8.277,2.338,0.271,0.515
0.069,9.77,4.194,0.483,0.703
0.081,10.105,5.424,0.631,0.739
0.09,10.073,6.386,0.735,0.735
0.091,9.973,7.233,0.803,0.725
0.088,10.012,7.895,0.827,0.729
0.087,10.131,8.254,0.786,0.741
0.082,10.191,8.356,0.706,0.748
0.076,10.271,8.176,0.57,0.755
0.07,10.394,7.595,0.388,0.767
0.061,10.308,6.567,0.18,0.758
0.035,10.081,5.043,0.023,0.737
0.001,9.714,3.356,0,0.697
0,9.319,2.289,0,0.65
0,9.116,1.613,0,0.625
0,8.959,1.198,0,0.605
0,8.794,0.928,0,0.584
0,8.641,0.679,0,0.563
0,8.519,0.395,0,0.547
0,8.232,0.02,0,0.508
0,8.056,-0.475,0,0.484
0,8.278,-0.765,0,0.515
0.01,8.467,-0.455,0.002,0.54
0.065,7.832,0.524,0.06,0.454
0.119,7.445,2.125,0.195,0.4
0.115,9.437,4.306,0.435,0.665
0.117,9.937,5.753,0.609,0.722
0.161,9.957,6.69,0.649,0.724
0.247,9.833,7.297,0.551,0.71
0.285,9.459,7.507,0.37,0.668
0.198,8.928,7.246,0.196,0.601
0.141,8.474,6.933,0.128,0.541
0.12,8.596,6.637,0.107,0.557
0.129,8.903,6.466,0.123,0.599
0.097,9.036,6.026,0.092,0.615
0.033,9.023,5.054,0.019,0.613
0.001,8.681,4.006,0,0.569
0,8.315,3.191,0,0.52
0,8.342,2.515,0,0.523
0,8.308,2.197,0,0.519
0,8.322,1.904,0,0.522
0,8.393,1.567,0,0.53
0,8.539,1.335,0,0.55
0,8.81,1.29,0,0.586
0,8.881,1.271,0,0.595
0,8.913,1.252,0,0.599
0.008,9.065,1.364,0.001,0.619
0.056,9.642,2.177,0.045,0.688
0.118,10.191,3.376,0.124,0.748
0.177,11.234,4.818,0.226,0.837
0.211,11.897,6.361,0.412,0.879
0.21,12.371,7.715,0.549,0.903
0.211,12.658,8.589,0.62,0.916
0.227,12.598,9.078,0.6,0.913
0.23,12.454,9.479,0.558,0.907
0.233,12.285,9.634,0.443,0.899
0.21,12.05,9.541,0.298,0.887
0.158,11.724,9.293,0.18,0.868
0.09,11.434,8.762,0.081,0.85
0.031,11.333,7.903,0.017,0.844
0.001,11.143,6.924,0,0.83
0,10.887,6.286,0,0.81
0,10.526,5.902,0,0.779
0,10.236,5.658,0,0.751
0,9.693,5.46,0,0.695
0,9.064,5.297,0,0.618
0,8.51,5.192,0,0.547
0,7.817,5.068,0,0.451
0,7.179,4.999,0,0.364
0,6.857,5.03,0,0.323
0.004,6.615,5.077,0,0.293
0.03,6.337,5.432,0.017,0.259
0.067,6.316,5.94,0.052,0.256
0.119,6.279,6.783,0.104,0.252
0.163,6.315,7.658,0.15,0.256
0.198,6.429,8.458,0.186,0.27
0.218,6.564,9.063,0.207,0.286
0.219,6.599,9.414,0.207,0.291
0.193,6.559,9.502,0.179,0.285
0.149,6.471,9.347,0.131,0.275
0.111,6.471,9.005,0.093,0.275
0.083,6.659,8.58,0.066,0.297
0.055,6.934,8.063,0.039,0.333
0.022,7.184,7.365,0.011,0.365
0.001,7.449,6.646,0,0.401
0,7.485,6.201,0,0.406
0,7.669,5.972,0,0.432
0,7.451,5.701,0,0.401
0,7.509,5.492,0,0.41
0,7.672,5.292,0,0.432
0,7.625,5.026,0,0.425
0,7.397,4.71,0,0.395
0,7.202,4.427,0,0.367
0,6.932,4.032,0,0.332
0.01,6.838,3.865,0.002,0.32
0.061,6.676,4.36,0.051,0.3
0.121,6.764,5.407,0.176,0.311
0.128,6.861,7.071,0.385,0.323
0.116,6.973,8.842,0.573,0.337
0.111,7.002,10.443,0.702,0.341
0.112,6.939,11.688,0.766,0.334
0.119,6.813,12.585,0.761,0.317
0.12,6.693,13.216,0.72,0.302
0.118,6.587,13.556,0.635,0.289
0.116,6.55,13.632,0.499,0.284
0.111,6.519,13.392,0.326,0.28
0.095,6.469,12.513,0.148,0.274
0.045,7.37,10.653,0.03,0.391
0.002,8.172,8.75,0,0.501
0,8.229,7.391,0,0.507
0,7.898,6.281,0,0.463
0,7.607,5.783,0,0.422
0,7.33,5.525,0,0.386
0,7.127,5.302,0,0.358
0,7.015,5.297,0,0.343
0,6.942,5.293,0,0.334
0,6.969,5.277,0,0.337
0,6.982,5.169,0,0.338
0.008,7.123,5.158,0.001,0.358
0.053,7.232,5.783,0.039,0.371
0.12,7.004,6.606,0.122,0.342
0.183,7.376,8.098,0.27,0.391
0.19,7.391,9.897,0.462,0.394
0.172,7.638,11.919,0.615,0.427
0.164,7.918,13.525,0.693,0.466
0.184,8.109,14.43,0.671,0.491
0.218,8.086,14.798,0.571,0.488
0.235,7.749,14.84,0.433,0.442
0.215,7.229,14.741,0.297,0.371
0.157,6.539,14.376,0.169,0.283
0.096,6.485,13.579,0.086,0.277
0.039,7.015,12.189,0.024,0.343
0.002,7.444,10.499,0,0.4
0,7.601,9.262,0,0.422
0,7.502,8.162,0,0.408
0,7.406,7.238,0,0.395
0,7.401,6.61,0,0.395
0,7.422,6.201,0,0.398
0,7.401,5.959,0,0.395
0,7.312,5.817,0,0.382
0,7.146,5.62,0,0.361
0,6.919,5.484,0,0.331
0.014,6.762,5.541,0.005,0.311
0.07,6.358,6.461,0.065,0.261
0.115,5.781,7.62,0.209,0.199
0.117,5.416,9.458,0.407,0.162
0.111,5.598,12.037,0.581,0.18
0.112,6.895,14.583,0.689,0.328
0.111,7.19,15.809,0.756,0.367
0.112,7.269,16.584,0.765,0.376
0.113,7.148,17.011,0.726,0.361
0.116,6.879,17.131,0.634,0.325
0.13,6.475,16.924,0.47,0.276
0.132,5.874,16.38,0.291,0.208
0.105,5.365,15.374,0.131,0.158
0.043,5.428,13.508,0.028,0.164
0.003,5.469,11.898,0,0.167
0,5.5,11.02,0,0.17
0,5.785,10.262,0,0.199
0,6.106,9.865,0,0.233
0,6.298,9.516,0,0.254
0,6.442,8.976,0,0.272
0,6.514,8.448,0,0.28
0,6.471,7.952,0,0.275
0,6.365,7.54,0,0.263
0,6.074,7.21,0,0.229
0.017,5.659,7.27,0.007,0.186
0.076,5.331,9.048,0.074,0.155
0.131,4.75,10.625,0.189,0.107
0.177,4.202,11.833,0.298,0.07
0.214,4.03,13.514,0.387,0.061
0.224,4.032,15.057,0.501,0.061
0.204,4.201,16.385,0.608,0.07
0.171,4.238,17.296,0.683,0.073
0.173,4.236,17.728,0.64,0.072
0.187,4.271,17.765,0.528,0.075
0.19,4.261,17.557,0.384,0.074
0.167,4.215,17.048,0.216,0.071
0.1,4.169,16.08,0.09,0.069
0.033,4.123,14.461,0.019,0.066
0.002,3.929,13.4,0,0.055
0,3.622,13.017,0,0.04
0,3.305,12.676,0,0.027
0,3.401,12.158,0,0.031
0,4.363,11.009,0,0.081
0,5.523,10.211,0,0.173
0,6.369,9.817,0,0.263
0,6.906,9.555,0,0.328
0,7.039,9.229,0,0.346
0,6.988,8.837,0,0.34
0.013,6.978,8.743,0.004,0.338
0.059,6.757,9.482,0.044,0.311
0.115,6.269,10.129,0.108,0.251
0.173,5.92,10.955,0.185,0.212
0.228,6.125,12.311,0.282,0.235
0.258,6.718,13.826,0.419,0.305
0.243,7.256,15.01,0.551,0.375
0.237,7.684,15.647,0.57,0.432
0.23,7.958,15.857,0.545,0.47
0.205,8.092,15.839,0.5,0.489
0.162,8.051,15.614,0.443,0.484
0.113,7.838,15.157,0.354,0.454
0.09,7.538,14.249,0.183,0.413
0.055,7.994,12.704,0.041,0.476
0.005,8.675,11.011,0,0.568
0,8.942,10.282,0,0.603
0,9.029,9.765,0,0.615
0,9.027,9.306,0,0.615
0,8.956,8.833,0,0.605
0,8.83,8.305,0,0.59
0,8.685,7.784,0,0.57
0,8.558,7.439,0,0.552
0,8.341,7.148,0,0.523
0,8.192,6.915,0,0.502
0.02,8.188,7.326,0.009,0.502
0.058,7.863,9.4,0.098,0.458
0.071,6.952,10.941,0.284,0.335
0.079,6.677,12.701,0.47,0.3
0.087,7.85,14.861,0.616,0.457
0.093,8.656,16.102,0.717,0.566
0.098,8.995,16.817,0.772,0.61
0.101,8.923,17.241,0.778,0.601
0.103,8.587,17.458,0.737,0.556
0.104,8.161,17.455,0.649,0.498
0.102,7.804,17.261,0.518,0.449
0.104,7.569,16.771,0.344,0.417
0.103,7.653,15.677,0.145,0.43
0.049,8.217,14.167,0.032,0.506
0.005,8.897,12.787,0,0.598
0,9.192,12.001,0,0.635
0,9.026,11.023,0,0.614
0,8.609,10.031,0,0.559
0,8.232,9.425,0,0.508
0,8.19,9.084,0,0.502
0,8.496,8.954,0,0.544
0,8.428,8.856,0,0.535
0,7.976,8.624,0,0.473
0,7.541,8.249,0,0.413
0.016,7.04,7.973,0.006,0.346
0.078,6.499,8.296,0.07,0.278
0.135,6.282,9.382,0.194,0.252
0.164,6.672,11.231,0.341,0.3
0.166,7.273,13.148,0.503,0.377
0.165,7.822,14.688,0.617,0.452
0.176,8.359,15.592,0.659,0.525
0.174,8.76,15.967,0.679,0.58
0.17,8.975,15.996,0.648,0.607
0.155,9.125,15.759,0.593,0.626
0.148,9.186,15.157,0.47,0.634
0.141,9.048,14.178,0.31,0.617
0.115,8.984,12.782,0.143,0.609
0.053,9.128,11.104,0.037,0.626
0.006,9.159,9.376,0,0.63
0,9.069,8.078,0,0.619
0,8.727,7.442,0,0.575
0,8.539,7.181,0,0.55
0,8.462,6.882,0,0.539
0,8.371,6.554,0,0.527
0,8.237,6.084,0,0.509
0,8.548,5.887,0,0.552
0,8.373,5.697,0,0.527
0,8.695,5.759,0,0.571
0.017,8.984,5.998,0.007,0.609
0.071,9.347,6.734,0.059,0.653
0.138,9.908,8.04,0.196,0.718
0.139,10.245,9.931,0.404,0.752
0.131,10.502,11.811,0.577,0.777
0.139,10.635,13.282,0.673,0.789
0.158,10.683,14.28,0.702,0.793
0.181,10.656,14.824,0.679,0.791
0.209,10.524,14.914,0.589,0.779
0.202,10.297,14.739,0.518,0.757
0.187,10.096,14.343,0.411,0.738
0.166,9.919,13.563,0.265,0.72
0.119,9.713,12.378,0.129,0.697
0.053,9.465,10.827,0.036,0.668
0.004,9.098,9.451,0,0.623
0,8.236,8.854,0,0.509
0,7.374,8.781,0,0.391
0,7.093,8.795,0,0.353
0,7.286,8.591,0,0.379
0,7.123,8.319,0,0.358
0,6.801,8.122,0,0.315
0,6.764,7.99,0,0.311
0,6.58,7.786,0,0.289
0,6.557,7.34,0,0.285
0.025,6.371,7.213,0.013,0.264
0.089,5.994,7.819,0.09,0.22
0.101,5.707,9.092,0.293,0.191
0.127,6.43,10.839,0.45,0.27
0.219,7.183,11.693,0.455,0.365
0.273,7.745,11.7,0.338,0.442
0.305,8.26,11.9,0.39,0.513
0.317,8.854,12.111,0.396,0.591
0.22,8.965,11.857,0.213,0.606
0.195,8.78,11.727,0.184,0.583
0.15,8.142,11.446,0.135,0.496
0.113,7.438,11.011,0.097,0.4
0.085,6.927,10.604,0.069,0.332
0.049,6.736,10.005,0.033,0.308
0.006,6.775,8.827,0,0.312
0,6.927,8.269,0,0.332
0,7.041,7.91,0,0.346
0,7.391,7.637,0,0.394
0,7.699,7.427,0,0.435
0,7.919,7.236,0,0.466
0,7.984,6.994,0,0.474
0,8.141,6.934,0,0.496
0,7.977,6.954,0,0.473
0,7.899,7.008,0,0.463
0.013,8.129,7.389,0.004,0.494
0.052,8.268,8.092,0.037,0.513
0.129,8.546,8.927,0.12,0.551
0.212,9.51,9.83,0.264,0.674
0.253,10.317,10.637,0.412,0.759
0.292,10.868,11.034,0.415,0.809
0.314,11.127,11.126,0.401,0.829
0.315,10.992,10.99,0.371,0.819
0.281,10.371,10.604,0.302,0.765
0.249,9.608,10.152,0.257,0.684
0.193,9.2,9.793,0.186,0.635
0.104,8.807,9.328,0.087,0.586
0.057,8.626,8.782,0.041,0.561
0.036,9.071,8.111,0.022,0.619
0.006,9.728,7.353,0,0.698
0,9.89,6.799,0,0.716
0,9.899,6.462,0,0.718
0,9.78,6.385,0,0.704
0,8.918,6.452,0,0.601
0,7.735,6.277,0,0.44
0,7.043,5.789,0,0.346
0,6.582,5.302,0,0.289
0,6.212,5.046,0,0.245
0,5.427,4.806,0,0.163
0.023,4.281,5.194,0.012,0.076
0.076,3.573,6.043,0.062,0.038
0.158,4.457,6.713,0.166,0.087
0.197,5.717,7.252,0.203,0.192
0.211,6.644,7.47,0.208,0.296
0.23,7.432,7.75,0.226,0.398
0.256,8.257,8.11,0.254,0.512
0.229,9.086,8.238,0.219,0.621
0.182,9.535,8.217,0.167,0.676
0.177,9.877,8.273,0.161,0.714
0.108,9.959,8.107,0.09,0.724
0.081,9.736,7.997,0.064,0.7
0.068,9.573,7.951,0.052,0.681
0.036,9.602,7.785,0.021,0.684
0.004,9.564,7.554,0,0.679
0,9.174,7.429,0,0.633
0,8.856,7.436,0,0.592
0,8.577,7.477,0,0.556
0,8.251,7.463,0,0.51
0,8.003,7.401,0,0.477
0,7.182,7.204,0,0.365
0,6.535,6.837,0,0.282
0,6.025,6.599,0,0.224
0,5.472,6.489,0,0.168
0.017,4.979,6.681,0.007,0.125
0.058,4.43,7.419,0.043,0.085
0.123,3.695,8.174,0.114,0.044
0.205,2.944,9.458,0.237,0.016
0.255,2.184,10.764,0.374,0.003
0.284,2.385,11.748,0.438,0.005
0.307,2.977,12.282,0.453,0.017
0.314,3.456,12.586,0.434,0.033
0.303,3.735,12.799,0.403,0.045
0.281,3.906,12.968,0.38,0.054
0.237,3.995,12.751,0.286,0.059
0.19,4.012,12.438,0.217,0.06
0.118,4.085,11.783,0.108,0.064
0.053,4.139,10.731,0.036,0.067
0.008,4.101,9.307,0.001,0.065
0,3.95,8.344,0,0.057
0,3.763,7.688,0,0.047
0,3.529,7.135,0,0.036
0,3.268,6.639,0,0.026
0,3.166,6.276,0,0.022
0,3.237,6.119,0,0.025
0,3.411,6,0,0.031
0,3.588,5.658,0,0.039
0,3.799,5.339,0,0.048
0.026,4.043,5.402,0.014,0.061
0.084,4.107,5.998,0.076,0.065
0.143,4.179,7.016,0.19,0.069
0.173,4.538,8.536,0.336,0.093
0.145,4.98,10.297,0.554,0.125
0.109,5.339,12.108,0.734,0.155
0.112,5.562,13.126,0.785,0.177
0.116,5.791,13.718,0.789,0.2
0.116,5.987,14.04,0.753,0.22
0.123,6.075,14.044,0.653,0.23
0.122,6.048,13.842,0.525,0.227
0.128,5.967,13.416,0.344,0.218
0.119,5.679,12.735,0.158,0.188
0.068,5.138,11.723,0.053,0.138
0.013,4.965,9.625,0.004,0.124
0,5.2,8.262,0,0.144
0,5.639,7.525,0,0.184
0,6.115,6.987,0,0.233
0,6.434,6.519,0,0.271
0,6.733,6.11,0,0.308
0,7.007,5.882,0,0.342
0,7.136,6.052,0,0.359
0,6.872,6.264,0,0.325
0,6.486,6.52,0,0.277
0.022,6.328,6.778,0.011,0.259
0.078,6.332,7.555,0.063,0.259
0.137,6.349,8.631,0.127,0.261
0.179,6.354,9.702,0.171,0.261
0.208,6.491,10.421,0.2,0.278
0.219,6.648,10.786,0.207,0.296
0.234,6.835,11.004,0.223,0.32
0.244,6.949,11.144,0.234,0.334
0.227,6.927,11.125,0.214,0.332
0.207,6.787,11.006,0.193,0.313
0.176,6.551,10.84,0.161,0.284
0.132,6.198,10.617,0.115,0.243
0.076,5.584,10.237,0.059,0.179
0.035,5.199,9.744,0.02,0.144
0.006,5.109,8.995,0,0.135
0,5.106,8.49,0,0.135
0,5.263,8.279,0,0.149
0,5.352,8.079,0,0.157
0,5.419,7.947,0,0.163
0,5.505,7.876,0,0.171
0,5.504,7.789,0,0.171
0,5.456,7.694,0,0.167
0,5.373,7.625,0,0.158
0,5.238,7.539,0,0.147
0.014,5.032,7.735,0.004,0.13
0.05,4.611,8.421,0.035,0.097
0.095,4.412,8.979,0.079,0.084
0.138,4.285,9.503,0.123,0.076
0.17,3.937,9.909,0.157,0.055
0.229,3.742,10.394,0.224,0.046
0.277,3.802,10.917,0.29,0.049
0.321,4.076,11.519,0.406,0.063
0.297,4.435,12.09,0.505,0.085
0.259,4.645,12.396,0.493,0.1
0.237,4.701,12.326,0.366,0.104
0.195,4.735,12.139,0.27,0.106
0.138,4.851,11.708,0.152,0.115
0.078,5.071,10.955,0.062,0.133
0.016,5.415,9.231,0.006,0.162
0,5.632,8.152,0,0.183
0,5.738,7.514,0,0.194
0,5.751,6.963,0,0.195
0,5.682,6.37,0,0.188
0,5.666,5.959,0,0.186
0,5.675,5.743,0,0.187
0,5.669,5.644,0,0.187
0,5.732,5.801,0,0.193
0.001,5.656,5.85,0,0.185
0.031,5.416,6.525,0.018,0.162
0.09,4.967,7.746,0.081,0.124
0.155,4.858,8.65,0.203,0.115
0.19,4.801,9.531,0.342,0.112
0.204,4.832,10.486,0.492,0.113
0.253,4.802,11.076,0.489,0.112
0.247,4.916,11.634,0.585,0.12
0.214,5.099,12.152,0.661,0.135
0.198,5.285,12.536,0.65,0.151
0.209,5.352,12.646,0.544,0.157
0.208,5.206,12.466,0.407,0.144
0.183,4.934,12.025,0.283,0.121
0.128,4.82,11.08,0.126,0.112
0.048,5.407,9.698,0.032,0.162
0.006,6.484,8.237,0,0.277
0,7.405,6.935,0,0.395
0,7.518,6.004,0,0.41
0,7.066,5.443,0,0.349
0,6.53,5.048,0,0.282
0,6.139,4.739,0,0.236
0,5.925,4.464,0,0.213
0,5.674,4.221,0,0.187
0,5.23,4.04,0,0.146
0.001,4.888,3.943,0,0.118
0.025,4.7,4.188,0.013,0.103
0.085,4.573,4.748,0.075,0.094
0.151,4.863,5.58,0.204,0.116
0.15,5.218,6.61,0.421,0.145
0.154,5.499,7.534,0.564,0.17
0.162,5.799,8.361,0.663,0.201
0.167,6.215,8.923,0.722,0.245
0.194,6.608,9.108,0.685,0.291
0.199,6.957,9.142,0.642,0.336
0.187,7.204,9.068,0.585,0.368
0.196,7.37,8.708,0.431,0.391
0.18,7.41,8.274,0.27,0.395
0.132,7.365,7.756,0.159,0.39
0.077,7.129,6.884,0.063,0.358
0.018,7.14,5.41,0.008,0.36
0,7.361,4.262,0,0.389
0,7.412,3.86,0,0.396
0,7.398,3.458,0,0.395
0,7.132,2.897,0,0.358
0,7.025,2.266,0,0.344
0,7.127,1.653,0,0.358
0,7.304,1.077,0,0.381
0,7.515,0.738,0,0.41
0.002,7.702,0.557,0,0.435
0.041,7.551,1.362,0.027,0.414
0.067,7.324,2.789,0.135,0.384
0.079,8.131,4.35,0.327,0.494
0.092,8.042,5.665,0.506,0.482
0.113,7.692,6.764,0.63,0.434
0.158,7.303,7.594,0.663,0.381
0.221,6.971,8.045,0.609,0.337
0.237,6.691,8.399,0.6,0.302
0.23,6.511,8.688,0.58,0.279
0.225,6.468,8.794,0.501,0.274
0.213,6.492,8.709,0.381,0.278
0.179,6.392,8.516,0.259,0.265
0.13,6.091,8.287,0.163,0.231
0.077,5.578,7.708,0.063,0.179
0.019,5.45,6.11,0.008,0.166
0,5.457,5.011,0,0.167
0,5.374,4.613,0,0.159
0,5.249,4.26,0,0.147
0,5.174,3.798,0,0.141
0,5.15,3.316,0,0.139
0,5.151,2.963,0,0.139
0,5.174,2.636,0,0.141
0,5.152,2.194,0,0.139
0.002,5.129,1.64,0,0.137
0.042,5.132,2.364,0.028,0.137
0.067,4.994,4.427,0.134,0.126
0.079,5.351,5.783,0.323,0.157
